SID,error_rate%,capsLock_usage,wpm,negative_ud%,negative_uu%,rsa_ratio,lsa_ratio,mean_hold_time1,mean_hold_time2,mean_f1,mean_f2,mean_f3,mean_f4,UID
18,2.02808112324493,0,68.46690766129703,18.90625,0.0,0.0,0.0,114.7828125,114.709375,72.7109375,187.49375,187.4203125,302.203125,5
19,4.0,0,35.01488132456294,24.355300859598856,0.0,0.0,0.0,128.378223495702,128.2893982808023,215.134670487106,343.512893982808,343.4240687679083,471.8022922636103,5
20,4.925373134328359,0,56.97673450007913,24.774774774774773,1.0510510510510511,0.0,0.0,498.3258258258258,498.466966966967,-318.3063063063063,180.01951951951952,180.16066066066065,678.4864864864865,5
21,2.211690363349131,0,46.4597348964231,22.78481012658228,0.15822784810126583,0.0,0.0,127.96993670886076,128.04430379746836,61.870253164556964,189.84018987341773,189.91455696202533,317.88449367088606,5
22,0.9230769230769231,0,49.47608655816355,20.49306625577812,0.0,0.0,0.0,120.73035439137134,120.60862865947611,64.1633281972265,184.89368258859784,184.77195685670262,305.50231124807397,5
1,0.0,0,4.766586230524027,9.836065573770492,1.639344262295082,0.0,1.0,230.19672131147541,226.14754098360655,1419.327868852459,1649.5245901639344,1645.4754098360656,1875.672131147541,6
2,3.8834951456310676,4,3.6035108491415926,10.204081632653061,4.081632653061225,0.0,1.0,266.7551020408163,265.3673469387755,2110.6530612244896,2377.408163265306,2376.0204081632655,2642.7755102040815,6
3,4.081632653061225,0,8.087499037202496,8.333333333333332,4.166666666666666,0.0,1.0,173.72916666666666,176.60416666666666,900.9791666666666,1074.7083333333333,1077.5833333333333,1251.3125,6
4,0.0,4,10.809605106251555,2.7210884353741496,0.0,0.0,1.0,190.2517006802721,189.6734693877551,601.0408163265306,791.2925170068028,790.7142857142857,980.9659863945578,6
5,0.0,0,7.492382744210053,8.823529411764707,1.9607843137254901,0.0,0.0,825.3333333333334,825.0882352941177,350.87254901960785,1176.2058823529412,1175.9607843137255,2001.2941176470588,6
6,0.0,4,7.033870793204199,6.41025641025641,1.282051282051282,0.0,1.0,149.84615384615384,148.74358974358975,1270.8589743589744,1420.7051282051282,1419.6025641025642,1569.448717948718,6
7,2.43161094224924,0,13.986712623008142,2.4691358024691357,1.2345679012345678,0.6666666666666666,0.3333333333333333,109.83333333333333,109.53703703703704,630.9135802469136,740.7469135802469,740.4506172839506,850.283950617284,6
8,0.0,0,7.605205340544195,2.7027027027027026,0.0,0.0,0.0,146.63513513513513,146.02702702702703,1451.6486486486488,1598.2837837837837,1597.6756756756756,1744.3108108108108,6
9,1.5444015444015444,0,11.702231402760662,1.574803149606299,0.0,0.0,0.0,148.8188976377953,148.61417322834646,738.7007874015748,887.5196850393701,887.3149606299213,1036.1338582677165,6
10,11.242603550295858,0,6.978483010716956,12.883435582822086,5.521472392638037,0.058823529411764705,0.9411764705882353,1590.4233128834355,1589.6564417177915,-855.4049079754601,735.0184049079754,734.2515337423313,2324.674846625767,6
11,1.4678899082568808,0,28.355134686889766,4.49438202247191,0.7490636704119851,0.0,1.0,99.7378277153558,99.91011235955057,319.8876404494382,419.62546816479403,419.7977528089888,519.5355805243446,6
12,3.3426183844011144,0,13.984151295198775,9.929078014184398,2.8368794326241136,0.04395604395604396,0.9560439560439561,266.78723404255317,265.6808510638298,584.5744680851063,851.3617021276596,850.2553191489362,1117.0425531914893,6
13,13.131313131313133,0,20.13404558275365,9.917355371900827,2.479338842975207,0.25,0.75,658.3471074380166,658.4132231404959,-203.04545454545453,455.301652892562,455.3677685950413,1113.7148760330579,6
14,5.702364394993046,4,30.497204422927897,7.062146892655368,1.977401129943503,0.0,1.0,128.59887005649716,128.5536723163842,210.06497175141243,338.6638418079096,338.6186440677966,467.21751412429376,6
15,3.7383177570093453,0,21.8161985274066,10.679611650485436,1.9417475728155338,0.0,1.0,121.05825242718447,124.0873786407767,409.3398058252427,530.3980582524272,533.4271844660194,654.4854368932039,6
16,0.22727272727272727,0,48.12713585053851,5.466970387243736,0.0,0.0,0.0,90.60136674259681,90.60136674259681,181.70615034168566,272.30751708428244,272.30751708428244,362.9088838268793,6
17,0.5524861878453038,0,42.47946825700911,3.8781163434903045,0.0,0.0,0.0,85.52631578947368,85.52631578947368,246.74238227146813,332.2686980609418,332.2686980609418,417.7950138504155,6
18,1.394422310756972,0,53.46702866565618,4.790419161676647,0.19960079840319359,0.0,0.0,89.6626746506986,89.60079840319361,149.88023952095807,239.5429141716567,239.4810379241517,329.1437125748503,6
19,0.2257336343115124,0,35.959246187653996,2.0361990950226243,0.0,0.0,0.0,86.33710407239819,86.33710407239819,185.28733031674207,271.6244343891403,271.6244343891403,357.96153846153845,6
20,1.5594541910331383,0,38.48620910840282,2.34375,0.1953125,0.0,0.0,82.7421875,82.7734375,151.533203125,234.275390625,234.306640625,317.048828125,6
21,2.849002849002849,7,25.54887499787093,3.7356321839080464,0.8620689655172413,0.7142857142857143,0.2857142857142857,110.37931034482759,110.51436781609195,226.72413793103448,337.1034482758621,337.23850574712645,447.617816091954,6
1,4.938271604938271,0,8.18581807019339,25.71428571428571,11.428571428571429,0.0,1.0,830.9714285714285,818.6857142857143,1.6,832.5714285714286,820.2857142857143,1651.2571428571428,7
2,1.279317697228145,0,10.037809080871282,22.972972972972975,11.486486486486488,0.024096385542168676,0.9759036144578314,3174.310810810811,3285.8175675675675,-2481.445945945946,692.8648648648649,804.3716216216217,3978.6824324324325,7
3,3.125,0,8.151435558373336,17.88617886178862,8.130081300813007,0.13333333333333333,0.8666666666666667,715.1138211382114,714.869918699187,0.5203252032520326,715.6341463414634,715.390243902439,1430.5040650406504,7
4,3.664921465968586,0,17.894886989898463,21.92513368983957,5.347593582887701,0.046511627906976744,0.9534883720930233,292.39572192513367,292.331550802139,118.64171122994652,411.03743315508024,410.9732620320856,703.3689839572193,7
5,4.964539007092199,0,15.69360112097151,25.423728813559322,12.711864406779661,0.06779661016949153,0.9322033898305084,2211.737288135593,2532.3389830508477,-2092.813559322034,118.92372881355932,439.52542372881356,2651.262711864407,7
